,lat,lng,ciudad
133,20.5413692,-102.517566367728,Atotonilco el Alto
134,18.67010935,-98.7566889420485,Jantetelco
135,21.24350145,-98.7968695967446,Tamazunchale
136,20.38914285,-103.685527154783,Villa Corona
137,19.0159932,-98.7951311452009,Ozumba
138,21.2676308,-89.1965193587689,Sinanché
139,24.03077915,-106.86246730262,Elota
140,19.05915005,-97.0995339010126,Coscomatepec
141,18.5880683,-99.3767724211155,Amacuzac
142,17.94751565,-94.6351062802347,Zaragoza
143,18.8409773,-99.6929242836454,Ixtapan de la Sal
144,18.85062925,-99.8686946908273,Almoloya de Alquisiras
145,19.013929,-98.84230655375,Tepetlixpa
146,16.87168945,-93.3370761804706,Berriozábal
147,19.25113375,-99.5937281303492,Metepec
148,19.2583335,-98.5239745942786,San Salvador el Verde
149,18.9763272,-100.752241,CopAndaro
150,26.1812678,-98.8628524710301,Camargo
151,19.3909617,-101.663764678616,Salvador Escalante
152,19.96059515,-98.005721363417,Zacatlán
153,19.89058415,-103.081020444225,Mazamitla
154,19.1749033,-99.4978504618956,Atizapán
155,20.6902505,-88.2016999,Valladolid
156,20.6831263,-100.959072514605,Santa Cruz de Juventino Rosas
157,20.6989852,-103.4243519,Zapopan
158,20.99270025,-102.393598131141,San Miguel el Alto
159,19.2634938,-99.1033663,Xochimilco
160,19.83864055,-97.5057372570162,Tlatlauquitepec
161,23.57451835,-103.646828458938,Sombrerete
162,18.9218274,-99.2342282,Cuernavaca
163,20.9139025,-100.744012,San Miguel de Allende
164,19.54918475,-98.7515623318349,Tepetlaoxtoc
165,17.07729135,-96.6363635890808,Tlalixtac de Cabrera
166,16.2601617,-93.5041703,Villahermosa
167,20.676143,-103.3469982,Guadalajara
168,22.4725329,-101.199332139038,Ahualulco
169,18.99063185,-96.2588740325427,Jamapa
170,20.89391415,-88.0728367102334,Temozón
171,24.12763885,-98.2270207821361,Abasolo
172,21.342134,-89.263981,Telchac Puerto
173,20.13938285,-103.189393982957,Tuxcueca
174,16.4609135,-95.0581833048718,El Espinal
175,18.498394,-88.304164,Chetumal
176,20.0169568,-99.6281796480507,Jilotepec
177,19.5184768,-99.1435410970946,Gustavo A. Madero
178,16.95879645,-99.6951335710223,Acapulco de Juárez
179,19.4379104,-99.1147121,Armería
180,19.89368265,-99.3487181526625,Tepeji del Río de Ocampo
181,21.0358557,-104.3698824,Ixtlán del Río
182,24.85300565,-99.4103418037624,Linares
183,18.677182,-88.391003,Bacalar
184,19.26328485,-104.604973659399,Cihuatlán
185,18.77684955,-99.6277107783563,Tonatico
186,20.21396265,-96.8992917535312,San Rafael
187,20.4173494,-97.3217410153323,Papantla
188,20.22059745,-98.7453530145549,Mineral del Chico
189,21.1137323,-105.038892294765,Compostela
190,18.82867105,-95.9238843132054,Alvarado
191,17.4893087,-96.6198781801473,Abejones
192,16.64421025,-94.9286350004164,Asunción Ixtaltepec
193,19.0013312,-99.3950158203093,Ocuilan
194,16.271111,-96.2825,San Pedro Mixtepec -Dto. 26 -
195,21.123411,-102.951371911696,Yahualica de González Gallo
196,17.18165875,-96.8286431317519,Nazareno Etla
197,19.4057761,-99.0338896,Villa de Allende
198,20.4845653,-88.7867301458818,Yaxcabá
199,29.425095,-101.935371812865,Acuña
200,21.161829,-86.82505,Cancún
201,15.65367405,-93.1366253011322,Pijijiapan
202,24.21155165,-98.5139019806096,Jiménez
203,21.15292955,-89.5255584975646,Chicxulub Pueblo
204,19.5464752,-99.1899141929874,Tlalnepantla de Baz
205,18.93968615,-99.8042877331282,Coatepec Harinas
206,19.75708585,-97.418932311827,Chignautla
207,18.8476735,-99.2455945082018,Temixco
208,20.1358065,-99.8274673410826,Aculco
209,19.6666671,-88.5000001,Quintana Roo
210,18.0271663,-92.7747841052769,Centro
211,20.4325631,-100.592152144042,Apaseo el Alto
212,19.3263632,-99.4600520175685,Lerma
213,27.8913673,-106.713189878226,San Francisco de Borja
214,20.27976445,-103.220358556075,Chapala
215,19.74446355,-99.4520652760428,Villa del Carbón
216,22.7195146,-105.702228011033,Escuinapa
217,19.4715657,-101.325993590706,Acuitzio
218,25.591946,-102.383971320776,Parras
219,20.7612209,-104.130631081613,Etzatlán
220,20.7585008,-103.704898474613,El Arenal
221,24.8320147,-99.5792044,Gral. Zuazua
222,20.8542575,-99.84756,Querétaro
223,17.80789995,-101.496952435006,Zihuatanejo de Azueta
224,16.6835469,-92.6155184199116,San Cristóbal de las Casas
225,20.36447955,-101.061875246493,Jaral del Progreso
226,21.0629973,-89.4192646,Yaxkukul
227,20.084423,-101.258458297427,Moroleón
228,21.8511488,-97.6352930735895,Tampico Alto
229,20.23285175,-99.6747169091359,Nopala de Villagrán
230,20.0501511,-89.0221221,Solidaridad
231,20.6230711,-87.0760038,Playa del Carmen
232,20.7622177,-99.383140107743,Zimapán
233,18.87251165,-96.8685723968666,Amatlán de los Reyes
234,25.8861426,-100.02331501783,Marín
235,27.8147924,-107.552240336103,Bocoyna
236,20.615283,-101.671253391535,Cuerámaro
237,26.1216805,-100.327087699587,Salinas Victoria
238,19.25568945,-99.9871476570157,Amanalco
239,16.571667,-97.033333,Texcoco
240,17.8556822,-92.4223905822218,Macuspana
241,19.94666345,-103.776105887688,Tapalpa
242,19.39897535,-99.095311970323,Iztacalco
243,19.11300805,-96.1119502282736,Boca del Río
244,20.3696273,-90.0519097,Calkiní
245,18.88638935,-99.1701224011532,Jiutepec
246,21.38968005,-98.1970800493175,Tantoyuca
247,20.9876996,-101,Guanajuato
248,16.5525849,-92.5234712397913,Teopisca
249,29.4788942,-110.788818147012,San Miguel de Horcasitas
250,25.16329245,-99.9036003340764,Montemorelos
251,19.37322035,-96.9550157616114,Teocelo
252,21.1576146,-102.000801287062,Unión de San Antonio
253,19.0029948,-96.5512227153467,Camarón de Tejeda
254,20.7912161,-99.6660444473338,Cadereyta de Montes
255,21.2839331,-89.6638354,Progreso
256,18.9013708,-98.4531516085337,Atlixco
257,20.1197165,-97.0461646766573,Martínez de la Torre
258,19.5517479,-99.4611185284433,Isidro Fabela
259,19.0132036,-98.3422878036835,San Gregorio Atzompa
260,21.14133975,-100.070929691885,Santa Catarina
261,19.1685936,-99.6442631329644,Calimaya
262,19.54339605,-98.9568614444169,Atenco
263,17.63295405,-101.133509436466,Petatlán
264,18.4525195,-91.4129738779021,Carmen
265,21.1158202,-103.810137060535,Tequila
266,20.967141,-89.6237,Mérida
267,20.54221585,-99.9478987274392,Tequisquiapan
268,20.35720795,-102.503270032011,La Barca
269,16.7949938,-93.4583064911153,Ocozocoautla de Espinosa
270,28.35839415,-105.521525730494,Meoqui
271,27.99331185,-106.536623040386,Dr. Belisario Domínguez
272,17.49055305,-99.1322116376929,Chilapa de Alvarez
273,20.66457385,-89.2374548984068,Homún
274,22.81082405,-105.203272471014,Huajicori
275,16.4025937,-97.9608436238504,Pinotepa de Don Luis
276,21.7481115,-99.0635804194888,Aquismón
277,20.83589725,-98.8351247535594,Juárez Hidalgo
278,18.918346,-98.7201524960986,Tetela del Volcán
279,19.8517376,-97.445720938338,Teteles de Avila Castillo
280,19.82756725,-98.9006821935161,Temascalapa
281,19.07236245,-98.3223472316149,San Pedro Cholula
282,18.6858053,-99.1192531,Tlaltizapán
283,20.16489915,-98.2017623808804,ácaxochitlán
284,22.0163591,-104.876788131461,Ruíz
